indx,teamA,teamA1,teamA2,teamA3,teamA4,teamA5,teamA6,teamA7,teamA8,teamA9,teamA10,teamA11,teamA12,teamA13,teamA14,teamB,city,home_ground_of,rankTeamA,pointsTeamA,RatingTeamA,rankTeamB,pointsTeamB,RatingTeamB,winner
0,Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,New Zealand,Chandigarh,none,1,4889,129,3,4284,116,1
1,South Africa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Indies,Jaipur,none,4,5131,112,8,2471,88,8
2,Australia,,,,,,,,,,,,,,,West Indies,Mumbai,none,1,4889,129,8,2471,88,1
3,South Africa,,,,,,,,,,,,,,,India,Durban,South Africa,4,5131,112,2,5278,117,4
4,South Africa,,,,,,,,,,,,,,,India,Cape Town,South Africa,4,5131,112,2,5278,117,4
5,South Africa,,,,,,,,,,,,,,,India,Port Elizabeth,South Africa,4,5131,112,2,5278,117,4
6,Bangladesh,,,,,,,,,,,,,,,Zimbabwe,Bogra,Bangladesh,7,3094,96,11,1250,45,7
7,South Africa,,,,,,,,,,,,,,,India,Centurion,South Africa,4,5131,112,2,5278,117,4
8,Bangladesh,,,,,,,,,,,,,,,Zimbabwe,Bogra,Bangladesh,7,3094,96,11,1250,45,7
9,Pakistan,,,,,,,,,,,,,,,West Indies,Faisalabad,Pakistan,9,3721,87,8,2471,88,9
10,Bangladesh,,,,,,,,,,,,,,,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,7
