file_name,match_type,data,teamA,teamB,who_played_first,who_played_second,neutral_venue,city,home_ground_of_team,venue,winner,winner_by_runs,winner_by_wickets,toss_winner,toss_winner_decided_to,umpire_1,umpire_2,player_of_match
2006-11-01_ODIAusNew.yaml,ODI,2006-11-01,Australia,New Zealand,Australia,New Zealand,yes,Chandigarh,none,Punjab Cricket Association Stadium- Mohali,Australia,34,NA,New Zealand,field,SA Bucknor,RE Koertzen,GD McGrath
2006-11-02_ODISouWes.yaml,ODI,2006-11-02,South Africa,West Indies,South Africa,West Indies,yes,Jaipur,none,Sawai Mansingh Stadium,West Indies,NA,6,South Africa,bat,Aleem Dar,SJA Taufel,CH Gayle
2006-11-05_ODIAusWes.yaml,ODI,2006-11-05,Australia,West Indies,West Indies,Australia,yes,Mumbai,none,Brabourne Stadium,Australia,NA,8,West Indies,bat,Aleem Dar,RE Koertzen,SR Watson
2006-11-22_ODISouInd.yaml,ODI,2006-11-22,South Africa,India,South Africa,India,no,Durban,South Africa,Kingsmead,South Africa,157,NA,South Africa,bat,BR Doctrove,IL Howell,JH Kallis
2006-11-26_ODISouInd.yaml,ODI,2006-11-26,South Africa,India,South Africa,India,no,Cape Town,South Africa,Newlands,South Africa,106,NA,South Africa,bat,BR Doctrove,BG Jerling,JM Kemp
2006-11-27_ODIBerCan.yaml,ODI,2006-11-27,Bermuda,Canada,Bermuda,Canada,yes,Potchefstroom,none,Sedgars Park,Canada,NA,5,Canada,field,JJ Luck,RB Tiffin,S Dhaniram
2006-11-29_ODISouInd.yaml,ODI,2006-11-29,South Africa,India,South Africa,India,no,Port Elizabeth,South Africa,St George's Park,South Africa,80,NA,South Africa,bat,BR Doctrove,BG Jerling,HH Gibbs
2006-11-30_ODIBerCan.yaml,ODI,2006-11-30,Bermuda,Canada,Bermuda,Canada,yes,Benoni,none,Willowmoore Park,Canada,NA,3,Canada,field,SR Modi,RB Tiffin,GR Codrington
2006-12-01_ODICanNet.yaml,ODI,2006-12-01,Canada,Netherlands,Canada,Netherlands,yes,Benoni,none,Willowmoore Park,Netherlands,NA,1,Netherlands,field,SR Modi,RB Tiffin,WF Stelling
2006-12-02_ODIBerNet.yaml,ODI,2006-12-02,Bermuda,Netherlands,Netherlands,Bermuda,yes,Benoni,none,Willowmoore Park,Bermuda,NA,6,Netherlands,bat,SR Modi,RB Tiffin,S Mukuddem
2006-12-03_ODIBanZim.yaml,ODI,2006-12-03,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Bogra,Bangladesh,Shaheed Chandu Stadium,Bangladesh,NA,6,Bangladesh,field,Enamul Haque,Nadeem Ghauri,SC Williams
2006-12-03_ODISouInd.yaml,ODI,2006-12-03,South Africa,India,India,South Africa,no,Centurion,South Africa,SuperSport Park,South Africa,NA,9,South Africa,field,BR Doctrove,IL Howell,SM Pollock
